movieID	name	year	genre1	genre2	genre3
1	Toy Story 	1995	Animation	Children's	Comedy
2	Jumanji 	1995	Adventure	Children's	Fantasy
3	Grumpier Old Men 	1995	Comedy	Romance	
4	Waiting to Exhale 	1995	Comedy	Drama	
5	Father of the Bride Part II 	1995	Comedy		
6	Heat 	1995	Action	Crime	Thriller
7	Sabrina 	1995	Comedy	Romance	
8	Tom and Huck 	1995	Adventure	Children's	
9	Sudden Death 	1995	Action		
12	Dracula: Dead and Loving It 	1995	Comedy	Horror	
17	Sense and Sensibility 	1995	Drama	Romance	
19	Ace Ventura: When Nature Calls 	1995	Comedy		
21	Get Shorty 	1995	Action	Comedy	Drama
24	Powder 	1995	Drama	Sci-Fi	
25	Leaving Las Vegas 	1995	Drama	Romance	
28	Persuasion 	1995	Romance		
32	Twelve Monkeys 	1995	Drama	Sci-Fi	
34	Babe 	1995	Children's	Comedy	Drama
36	Dead Man Walking 	1995	Drama		
39	Clueless 	1995	Comedy	Romance	
43	Restoration 	1995	Drama		
45	To Die For 	1995	Comedy	Drama	
46	How to Make an American Quilt 	1995	Drama	Romance	
47	Seven (Se7en) 	1995	Crime	Thriller	
48	Pocahontas 	1995	Animation	Children's	Musical
50	Usual Suspects, The 	1995	Crime	Thriller	
52	Mighty Aphrodite 	1995	Comedy		
58	Postino, Il (The Postman) 	1994	Drama	Romance	
60	Indian in the Cupboard, The 	1995	Adventure	Children's	Fantasy
65	Bio-Dome 	1996	Comedy		
72	Kicking and Screaming 	1995	Comedy	Drama	
82	Antonia's Line (Antonia) 	1995	Drama		
85	Angels and Insects 	1995	Drama	Romance	
86	White Squall 	1996	Adventure	Drama	
88	Black Sheep 	1996	Comedy		
92	Mary Reilly 	1996	Drama	Thriller	
104	Happy Gilmore 	1996	Comedy		
110	Braveheart 	1995	Action	Drama	War
111	Taxi Driver 	1976	Drama	Thriller	
141	Birdcage, The 	1996	Comedy		
145	Bad Boys 	1995	Action		
150	Apollo 13 	1995	Drama		
153	Batman Forever 	1995	Action	Comedy	Crime
160	Congo 	1995	Action	Mystery	Sci-Fi
161	Crimson Tide 	1995	Drama	Thriller	War
201	Three Wishes 	1995	Drama		
202	Total Eclipse 	1995	Drama	Romance	
203	To Wong Foo, Thanks for Everything! Julie Newmar 	1995	Comedy		
204	Under Siege 2: Dark Territory 	1995	Action		
206	Unzipped 	1995	Documentary		
207	Walk in the Clouds, A 	1995	Drama	Romance	
208	Waterworld 	1995	Action	Adventure	
214	Before the Rain (Pred dozhdot) 	1994	Drama		
215	Before Sunrise 	1995	Drama	Romance	
216	Billy Madison 	1995	Comedy		
217	Babysitter, The 	1995	Drama	Thriller	
219	Cure, The 	1995	Drama		
222	Circle of Friends 	1995	Drama	Romance	
223	Clerks 	1994	Comedy		
224	Don Juan DeMarco 	1995	Comedy	Drama	Romance
230	Dolores Claiborne 	1994	Drama	Thriller	
231	Dumb & Dumber 	1994	Comedy		
232	Eat Drink Man Woman 	1994	Comedy	Drama	
233	Exotica 	1994	Drama		
235	Ed Wood 	1994	Comedy	Drama	
236	French Kiss 	1995	Comedy	Romance	
239	Goofy Movie, A 	1995	Animation	Comedy	Romance
243	Gordy 	1995	Comedy		
245	Glass Shield, The 	1994	Crime	Drama	
246	Hoop Dreams 	1994	Documentary		
247	Heavenly Creatures 	1994	Drama	Fantasy	Thriller
248	Houseguest 	1994	Comedy		
249	Immortal Beloved 	1994	Drama	Romance	
250	Heavyweights 	1994	Children's	Comedy	
252	I.Q. 	1994	Comedy	Romance	
253	Interview with the Vampire 	1994	Drama	Horror	
254	Jefferson in Paris 	1995	Drama		
256	Junior 	1994	Comedy	Sci-Fi	
258	Kid in King Arthur's Court, A 	1995	Adventure	Fantasy	Romance
260	Star Wars: Episode IV - A New Hope 	1977	Action	Adventure	Sci-Fi
261	Little Women 	1994	Drama		
262	Little Princess, A 	1995	Children's	Drama	
265	Like Water for Chocolate (Como agua para chocolate) 	1992	Drama	Romance	
266	Legends of the Fall 	1994	Drama	Romance	War
267	Major Payne 	1994	Comedy		
268	Little Odessa 	1994	Drama		
272	Madness of King George, The 	1994	Drama		
277	Miracle on 34th Street 	1994	Drama		
281	Nobody's Fool 	1994	Drama		
282	Nell 	1994	Drama		
288	Natural Born Killers 	1994	Action	Thriller	
291	Poison Ivy II 	1995	Thriller		
292	Outbreak 	1995	Action	Drama	Thriller
293	Professional, The (a.k.a. Leon: The Professional) 	1994	Crime	Drama	Romance
296	Pulp Fiction 	1994	Crime	Drama	
299	Priest 	1994	Drama		
304	Roommates 	1995	Comedy	Drama	
307	Three Colors: Blue 	1993	Drama		
314	Secret of Roan Inish, The 	1994	Drama		
318	Shawshank Redemption, The 	1994	Drama		
319	Shallow Grave 	1994	Thriller		
333	Tommy Boy 	1995	Comedy		
337	What's Eating Gilbert Grape 	1993	Drama		
339	While You Were Sleeping 	1995	Comedy	Romance	
342	Muriel's Wedding 	1994	Comedy	Romance	
344	Ace Ventura: Pet Detective 	1994	Comedy		
345	Adventures of Priscilla, Queen of the Desert, The 	1994	Comedy	Drama	
348	Bullets Over Broadway 	1994	Comedy		
349	Clear and Present Danger 	1994	Action	Adventure	Thriller
351	Corrina, Corrina 	1994	Comedy	Drama	Romance
353	Crow, The 	1994	Action	Romance	Thriller
356	Forrest Gump 	1994	Comedy	Romance	War
357	Four Weddings and a Funeral 	1994	Comedy	Romance	
364	Lion King, The 	1994	Animation	Children's	Musical
366	Wes Craven's New Nightmare 	1994	Horror		
368	Maverick 	1994	Action	Comedy	Western
370	Naked Gun 33 1/3: The Final Insult 	1994	Comedy		
372	Reality Bites 	1994	Comedy	Drama	
373	Red Rock West 	1992	Thriller		
376	River Wild, The 	1994	Action	Thriller	
377	Speed 	1994	Action	Romance	Thriller
380	True Lies 	1994	Action	Adventure	Comedy
383	Wyatt Earp 	1994	Western		
405	Highlander III: The Sorcerer 	1994	Action	Sci-Fi	
410	Addams Family Values 	1993	Comedy		
412	Age of Innocence, The 	1993	Drama		
413	Airheads 	1994	Comedy		
414	Air Up There, The 	1994	Comedy		
