userID,age,gender
4,25,M
5,56,M
6,50,M
15,45,M
17,25,F
18,25,M
19,45,M
22,35,M
23,45,M
24,18,M
33,35,M
37,25,M
47,25,M
49,50,M
52,45,F
55,50,M
59,1,F
62,18,M
66,18,M
67,25,F
68,56,M
69,56,M
70,25,M
75,45,M
76,25,M
80,35,M
84,56,M
87,35,F
88,45,F
91,25,F
92,50,M
98,25,M
110,25,F
115,50,M
118,18,M
120,25,M
122,50,M
124,25,M
128,18,F
131,25,M
133,35,M
137,25,M
140,35,F
141,25,M
142,50,M
144,25,F
148,25,M
150,25,M
155,25,M
157,25,M
161,1,M
165,25,M
168,35,M
169,45,F
170,25,F
176,50,M
178,35,M
183,18,M
192,56,M
193,25,M
194,25,M
197,25,M
200,50,F
203,35,F
211,35,M
213,35,M
214,56,M
217,25,M
218,45,M
220,25,M
221,35,M
222,25,M
225,35,M
226,25,M
227,25,M
228,1,M
229,50,M
230,45,F
234,1,F
235,35,M
237,25,M
239,35,F
242,18,M
243,25,M
248,25,M
251,18,F
256,25,M
259,35,M
261,25,M
262,25,F
266,1,M
271,50,F
272,25,M
275,18,M
279,1,F
285,18,M
287,50,M
290,25,M
295,25,M
296,56,M
297,25,M
298,18,M
301,45,F
304,18,M
305,25,M
308,45,M
309,18,M
310,25,M
311,35,F
314,35,M
315,35,F
322,50,F
326,25,M
328,25,M
345,25,F
350,18,M
354,50,M
355,25,F
361,35,M
365,25,F
368,18,M
369,18,F
371,25,M
375,25,M
378,25,M
379,25,M
380,25,M
381,25,M
383,50,M
384,56,F
386,50,F
387,25,M
388,56,M
392,35,F
394,18,M
398,35,M
400,56,M
406,25,M
408,35,M
409,56,F
412,35,M
414,18,F
417,35,M
425,18,F
428,25,M
430,18,M
431,25,M
434,56,M
447,45,M
450,25,M
452,35,M
453,25,F
454,50,M
455,18,M
456,18,M
460,35,M
462,25,M
463,56,M
464,25,M
467,50,M
468,35,M
469,35,M
473,18,M
474,45,M
475,25,F
476,18,M
477,25,F
482,35,M
483,25,M
486,18,M
487,35,M
488,35,F
490,50,F
494,35,M
496,35,M
498,18,M
501,18,F
508,45,F
509,18,F
516,35,F
519,35,F
520,45,F
528,25,M
529,25,F
532,25,F
533,56,M
544,25,F
545,25,M
551,1,F
552,18,M
561,25,F
563,25,M
564,25,M
565,25,F
566,35,M
571,25,F
574,18,M
575,18,F
577,25,F
580,25,M
581,18,M
582,18,M
583,35,M
584,25,M
585,45,M
586,18,F
588,18,M
591,25,M
593,25,F
597,1,F
601,35,M
